userName;content;score;at;appVersion;;
Ayu Nurfajriah;ok;5;01/02/2024 23.02;82.00.05;;
Nadya Pithazmi;Saya membeli paket, tetapi pembelian gagal Sedangkan pulsa saya habis 100.000 Sudah membuat keluhan, tetapi belum di tanggapi Saya rugi;1;01/02/2024 23.01;82.00.05;;
Adly Affan;bagus;4;01/02/2024 22.55;82.00.05;;
TRUE SIAGIAN;Saya beli kuota 20 G masa berlaku 60 hari seharga Rp.50.000 dari malam tgl 01 Februari 2024 sampai tgl 2 Februari 2024 jam 05.00 masih diproses terus.;1;01/02/2024 22.52;82.00.05;;
Sity Adet;👍👍;5;01/02/2024 22.49;81.16.00;;
zell new;Good;5;01/02/2024 22.45;81.16.00;;
Afnan Fatir;im3 jangkau nya merakyat, hampir tiap tempat ada. Tapi sayang cuman kurang kuat aja sinyal. Semoga kedepannya makin stabil, jaya selalu.;4;01/02/2024 22.44;82.00.05;;
Wiwin Yustika;🤝;5;01/02/2024 22.44;82.00.05;;
Rusdy Salma;good;5;01/02/2024 22.36;82.00.05;;
ards GOOD;Aplikasinya berguna untuk membeli kuota dan bisa juga untuk mendapatkan nya secara gratis dan bagus juga;5;01/02/2024 22.35;82.00.05;;
Marwan Haidir;mantap;5;01/02/2024 22.25;82.00.05;;
Mansur Mancuy;Sya senang sekali;5;01/02/2024 22.20;82.00.05;;
Arini Syahadah;Cobalah im3 itu evaluasi. Banyak ulasan yang buruk terkait sinyal/jaringan yang sering low atau tiba-tiba hilang. Jika ajukan komplain selalu jawabnya tim kami sedang berusaha mengoptimalkan, memperbaiki jaringan, dsb. komplain yg kedua, paket data yang semakin mahal. Setiap bulan pasti naik harganya. Walaupun beli lewat aplikasi, hot promo pun tetap ada kenaikan harga paket data setiap bulannya.;1;01/02/2024 22.16;82.00.02;;
Selvi syaqila;terlalu buruk tolong di perbaiki jaringan;1;01/02/2024 22.11;81.16.00;;
ari ndot;bagus;5;01/02/2024 21.37;82.00.05;;
junior master 651;Pulsa kesedot melulu Gk jelas kepake buat apa,, Gk ada notif G ada langganan apa2 Coba bikin fitur riwayat pemakaian pulsa Itu habis buat apa, tiba2 pulsa berkurang dan g bisa di cek karna apa;1;01/02/2024 21.33;82.00.05;;
Iwan Ekairawan;Mau tanya Apa bisa kirim kuota ke nomor buka myIM3? 😀🙏;4;01/02/2024 21.14;82.00.02;;
Guna an;sangat senang;5;01/02/2024 20.55;82.00.05;;
DD Gemesh;jaringan lemot di tangerang kota ga sesuai sama harga kuota yg mahal, not recomen buat game² grafik tinggi ...;1;01/02/2024 20.14;82.00.05;;
Realme Indo;Kenapa sekarang jaringan susah banget,apa lagi buat main game sering hilang jaringan terus juga sekarang harganya naik pula;1;01/02/2024 19.37;81.16.00;;
untung suropati;Saya sudah aktivasi paket vidio tapi mau nonton malah minta beli paket lagi... Payah;1;01/02/2024 19.03;0;;
Krisjon Jhon;bagus;5;01/02/2024 18.58;0;;
Dimas Aditiya;"Indosat ni kenapa Lohh udah seminggu ga bagus"" Singal kenapaaa Cok,Capekk ak Lamaa"" tolonglah di benerin bukan malah bonus yg di banyakin sinyal tuh hah bagusin";1;01/02/2024 18.28;0;;
Irfan Abdillah;good;5;01/02/2024 18.25;82.00.05;;
Salfa Aja;bagus;5;01/02/2024 18.17;81.16.00;;
Lusi Silviani;bagus;5;01/02/2024 18.17;0;;
umar diaz prasetya;Di suruh restart juga percuma kalo sinyal lemot kaya gini udah kaya plosok,rekomendasi kartu lain dong bosen kartu mahal sinyal lemot, harga doang naik sinyal ga di benerin lawak,harga naik sinyal lemot paketan boros nyesel beli nih kartu;1;01/02/2024 18.10;82.00.05;;
Я Юбовь;Hapus aja fitur Indira ga guna, gmn caranya batalkan perpanjangan kuota? Kok ga ada opsi itu? Kok maksa otomatis perpanjangan kuota?;1;01/02/2024 18.09;0;;
Imang Ruswandi;mantap;5;01/02/2024 18.07;0;;
cha chiroo;sinyal buruk jaringan terjelek;1;01/02/2024 17.54;82.00.05;;
Bandnana Official;paket FUN tidak bisa di pakai;1;01/02/2024 17.50;82.00.05;;
Hendrik Kurniawan;saat main game sinyal hilang sendiri bikin males aja,bikin males pake indosat lagi bener bener kecewa👊;1;01/02/2024 17.50;82.00.05;;
Dirga M nur;mantap;5;01/02/2024 17.42;0;;
Fiema Mahgfiroh;Gila ya im3 sekarang, masa beli kuota 7gb 6 jam langsung ludes, parah. Udah mana sekarang harganya naik tpi sinyal ga ada peningkatan, boros nya luar biasa, lama-lama pindah provider lain ini mah klo gini terus, perasaan dari dulu make im3 ga kek gini deh, sekarang kok boros bgttt;1;01/02/2024 17.42;82.00.05;;
Duwan Aja;baik sekali;5;01/02/2024 17.36;82.00.05;;
Gegeh Kristiyanto;Bagus;5;01/02/2024 17.33;82.00.05;;
Sami Yuni;bagus;5;01/02/2024 17.29;0;;
Rifki Albukhori Pratama;Ko bisa di Indosat ada game kopi kenangan yang isinya scam semua? Tolong saring lagi game nya.;1;01/02/2024 17.23;82.00.05;;
Adit Sifa;Anjg buat main game burik asuuuuu semoga bangkrut amin mati yang punya saham;1;01/02/2024 17.22;0;;
agus azril;paket nya mahal lelet lagi..;1;01/02/2024 17.21;0;;
Putra Dewa;Aplikasi tolol;3;01/02/2024 17.20;81.16.00;;
Andi Ahmad;mantap;5;01/02/2024 17.10;81.16.00;;
Desi apriyanti;Pakai Indosat udh lama tpi makin kesini sinyalnya tambah parah gmana sih percuma beli kuota mending gak ush beli klo bkal jelek Kya gni mah mendeng ganti no klo Kya gni trus nyusahin mau download aja susah;1;01/02/2024 17.07;82.00.03;;
Karimova Elina;Makin lama makin ngeselin , drop sinyal terus. Tiap hari makin aneh kaya orang sakit nihh... Udah gua lakuin segala cara tetep aja drop terus.. udah 5 hari kaya gini terus cape gua liatnya... Gimana ini ? Jangan gini terus dong benerin coba itu masalahnya... Jangan sampai orang ganti ke provider lain.;1;01/02/2024 17.04;82.00.05;;
B Phone;aplikasi nya keren sekali;5;01/02/2024 17.01;82.00.05;;
Amrul Nerazzurra;Provider paling murahan didunia, sinyal yang amat sangat sangat sangat buruk 👎;1;01/02/2024 16.51;82.00.02;;
Pengguna Google;Benar benar provider penipu.....minggu kemarin beli quota 20gb rp 50 ribu dapet nya 12 gb,sekarang beli yg 8 gb harga 25 ribu/14 hari dapetnya 6.5gb untuk 5 hari,isi paket tidak sesuai dengan deskripsi,dasar penipu,bukan hanya penipu tapi juga rampok,harga paket 55 ribu tapi pulsa yang dipotong 60 ribu edan bener...kenapa ga direspon???buka indira aja di app error terus,beli quota aja dipersulit kelihatan kalau niat bener mau potong pulsa pelanggan;1;01/02/2024 16.48;82.00.02;;
Dian Arok;"Sekarang jaringan Indosat jelek bet.. lama"" ngeselein";1;01/02/2024 16.42;80.01.00;;
Novalina Kim;Error terus;1;01/02/2024 16.37;82.00.03;;
Arif Mustaqim;Ini gimana sih konsepnya im3,isi pulsa dapet bundling kuota 5gb..tapi nyatanya ga ada...dah komplain ke cs katanya 1×24 jam..tapi tetep aja ga da perubahan...nipu y;1;01/02/2024 16.33;82.00.05;;
CzxoJR SHOP;jaringan suka mati sendiri, itu ngeganggu pas ngegame banget, saya harap cepat untuk difix.;1;01/02/2024 16.31;82.00.05;;
Navis Kurtubi;Emang jelek banget ni apk eror terus mau beli paket;1;01/02/2024 16.29;82.00.05;;
Hebitz Leonhart;Di situ dapat 50% potongan harga tapi malah error pas di beli;1;01/02/2024 16.23;0;;
Rangga Rangga;Bagus;5;01/02/2024 16.19;0;;
bunda gibran;Ik;5;01/02/2024 16.18;0;;
Aziz Ngejez;baik;5;01/02/2024 16.18;81.16.00;;
Omo Al;Bagus sekali;3;01/02/2024 16.10;82.00.05;;
Leman Putra;paket terlalu mahal di murahin dong;4;01/02/2024 16.05;81.16.00;;
titin cahyani;baik;3;01/02/2024 16.02;81.13.00;;
Afip;Tolong untuk layanan pembayaran nya di permudah,, ini benar2 sangat ribet, pake shopee gak masuk dana gak masuk juga hadeeeee;1;01/02/2024 15.59;82.00.05;;
Mus Mulyadhi;sinyal selalu jelek;1;01/02/2024 15.56;81.07.00;;
Jemes Jemes;promo paket internet murah dong;5;01/02/2024 15.42;82.00.05;;
Muhammad Iqsan;"Apasih my im3 sinyal kek t4i ngelag"" paket mahal boros tolong lah di perbaiki";5;01/02/2024 15.39;82.00.02;;
Bombe Penyelamat;"Apk anjingg,apk pencuri uang customer Gw ngisi pulsa 150 k lewat IM3,bayar via bank BCA,di BCA mobile jelas""brhsil Malah di IM3 anjinkk gagal,uang gak kembali pulsa gak dapatt Emang aplikasi haramm babi pencurii";1;01/02/2024 15.31;0;;
Rizky;bgus;5;01/02/2024 15.29;82.00.05;;
Egi Winda;saya sangat suka dengan aplikasi ini sangat membantu;5;01/02/2024 15.28;82.00.05;;
Har Tzy;Makin lama makin buruk ni sinyal mana kouta masih banyak tolong lah admin perbaiki sinyalnya;1;01/02/2024 15.22;0;;
agus nuradiana;Puas;5;01/02/2024 15.19;82.00.05;;
Ferry Prtama Goesdi;Aplikasi eror , sinyal im3 selalu rusak deket lebaran. Kouta mahal dan kecepatan tidak maksimall. 555;2;01/02/2024 15.12;82.00.05;;
Tino Prasetyaa;Jaringan indosat makin lol;1;01/02/2024 15.09;82.00.05;;
Akbar Ramadhan;Sampah;1;01/02/2024 15.03;81.16.00;;
Rifaldi Pratama;Kok makin kesini makin lelet sering hilang2 sinyal;2;01/02/2024 14.59;82.00.05;;
Pelor Pelor;baguss;4;01/02/2024 14.53;82.00.05;;
Bang Dhi;Woi min untuk apk gak usah di update gak guna sumpah gak guna,, dari pada lu update apk enak lu benerin lagi dari masalah jaringan yang tiba tiba hilang,,akses jaringan lambat/data lemot, lu benerin lagi server maintenance nya dari pada lu update apk gak guna bagi kami,, yang berguna itu jaringan lancar gak sering gangguan,, klo jaringan lu bagus udah pasti lu dapat bintang lima tapi lu klo jaringan lu buruk sering gangguan walau pun lu update apk lu cuma dapet respon negatif, paham kagak woii;1;01/02/2024 14.52;82.00.05;;
yuli Lab;Terlalu banyak pesan sampah yang masuk;1;01/02/2024 14.49;82.00.05;;
Areta Sulistianto;Benerin sinyal dulu sono;1;01/02/2024 14.48;0;;
Jalmi Hina;Kenapa sinyal indosat makin kesini makin ancur ....harga paket kuota mahal sinyal ancur ..🖕🖕;1;01/02/2024 14.48;0;;
Aras nur khalifah Arasnk;Aplikasi nya kyk taii loginn bae lamaaa bangettt jdi kesell nungguin nya udh lah hapus aja hapus mening pindahhhh aplikasi ke AXIS atau Telkomsel.;1;01/02/2024 14.47;0;;
Tami Mukri;Bagus;5;01/02/2024 14.44;82.00.05;;
AG Reborn;sinyal im3 skrng sering gangguan. udah males pake im3 lagi ga kayak dulu. udah berapa bulan sinyal im3 lemot;1;01/02/2024 14.44;82.00.05;;
Arel Yusuf;Sinya kenapa sudah lima hari lemot banget enaknya gimana nih sat mending pindah kartu aja?;1;01/02/2024 14.41;82.00.05;;
Istiqomah Nurfadilah;bagussss bangettt;5;01/02/2024 14.41;81.07.00;;
Dian Angga Sasmitha;Layanannnya sangat ramah;3;01/02/2024 14.40;81.16.00;;
Rama Sipuden;Maaf pihak mym3 saya telah melakukan pembelian diamond di apk ini 3 kali dan hanya satu yang baru masuk mohon bantuannya😁terimah kasih;5;01/02/2024 14.40;82.00.05;;
Irsyadfadhli Ali;"Sorry tak kurangi bintangya kerena apa. Sinyal kadang ilang kadang ada kalo udah BNR"" setabil kaya dulu fullll bintang makasih";2;01/02/2024 14.39;82.00.05;;
Muhammad Bagas Dwi andrian;mayan;5;01/02/2024 14.38;81.16.00;;
Ahmad Rendy;Aplikasi sampah;1;01/02/2024 14.37;0;;
Jua riya;m.mm;5;01/02/2024 14.22;0;;
Frendy Rama;Kecewa berat sama fitur pulsa darurat .;1;01/02/2024 14.22;82.00.05;;
HD Chanel;menguntungkan;5;01/02/2024 14.19;81.08.00;;
Mhmmd Riki;Kenapa saya gk bisa masuk ke akun saya ya?? Kode Verifikasi juga gk ada;1;01/02/2024 14.17;81.02.00;;
Mas Berto;im3 skrang jauh lebih baik daripada im3 sblmnya, selain paket kuotanya murah kualitas jaringannya juga bagus.;5;01/02/2024 14.15;82.00.05;;
Agu Andika;Saya. Kecewa dengan kualitas sinyal im3.kalau gini terus auto ganti kartu.nyesal pake indosat.tolong perbaiki secepatnya kualitas jaringan im3.kami kecewa;1;01/02/2024 14.13;82.00.02;;
andika kurniawan;sinyal 4g jaringan im3 tidak muncul padahal paket data masih banyak internet tidak dapat digunakan. setiap mati lampu sinyal hilang, dan setiap hujan sinyal susah. cust service tidak merespon. hampir 10menit lebih tidak juga disambungkan tidak diangkat.!;1;01/02/2024 14.10;82.00.05;;
irul st6 gpl;Oke banget;5;01/02/2024 14.10;82.00.05;;
Fajar Wuner;aplikasi yang sangat bagus;5;01/02/2024 14.10;0;;
ZODIAK VIRGO;TOLONG LAH UNTUK M3 SAYA MASIH ADA PAKET DATA DAN KENAPA PULSA SAYA TERKURAS PADAHAL PAKET DATA MASIH ADA KASIH MODE KUNCI PULSA DONG BIAR PULSA AMAN GAK KE KURAS AXIS AJA ADA MODE KUNCI PULSA -AXIS NO ONEE BROO AXIS TERBAIK GAK KEK M3🤮🤮🤮🤮🤮;1;01/02/2024 14.09;82.00.05;;
Miftahul Ulum;Kode verivikasinya ga pernah dateng hadehhh;1;01/02/2024 14.07;0;;
Muhammad Abdul muis;keren banget;5;01/02/2024 14.06;81.14.02;;
ikom boest;Kenapa g ada promo lagi .;1;01/02/2024 14.04;0;;
fahri jal;Kenapa kartu indosat ooredoo skrg terlalu mahal kali yah pdahal aku pelanggan setia im3 selama hampir 4 tahun dan setiap pasang paket freedom internet harganya sangatlah mahal yang biasanya terjangkau skrg harganya sangat mahal...saya kira semakin lama di gunakan smakin paham indosat ooredoo terhadap pelanggan nya ternyata salah...tlong perbaiki paket freedom internet dan tlong berikan kemurahan soal masalah paket freedom internet yang dulunya stiap buat paket psti sllu ada gratis nelpon...;3;01/02/2024 14.03;82.00.05;;
Kiki Panji;Plss lah woi Indosat lu knp ngeleg sekarang woi,,,pdhl lu ga pernah ngelag tpi sekarang knp jdi rusak gini jaringannya,,,,kapan kelen benerin jaringannya,,gw tersiksa klo ngeleg' trus,,,klo gini trus bkln bnyk yg ganti kartu ini mah,,,tu liat langsung peringkat 7 begitu peringkat 2;1;01/02/2024 14.03;0;;
Antok Antok;sinyalnya buruk banget ya setelah gabung dengan tr3 khususnya cikarang;2;01/02/2024 14.02;82.00.02;;
culess 01;Sekarang gampang erorr kartunya;1;01/02/2024 14.01;82.00.03;;
Prasetyo Np03;Jaringannya sangat buruk;1;01/02/2024 14.01;0;;
Muhammad Hafid;Minimal ya ad gratisnnya taii!!;4;01/02/2024 14.00;0;;
fitri yani;Sangat tidak nyaman dengan koneksi sinyal im3 sekarang.koneksi internet yang burik .nyesal kayak nya pake kartu im3.sudah beli paket data tapi kuota gk bisa dipakai karna koneksi buruk.mohon untuk segera diperbaiki .kami pengguna indosat sangat kecewa;1;01/02/2024 13.57;0;;
Syaf Rudi;baik sekali.;5;01/02/2024 13.56;82.00.05;;
Agusvnyjlno;Udah harga paket makin mahal , sinyal gampang ilang , urusin dulu sinyal baru harga klo emg ga niat mending tutup aja dari pada makin bobrok mending bubarin aja tuh pt;1;01/02/2024 13.55;82.00.05;;
Ahmad Kosasih Mulyadi;mantap;5;01/02/2024 13.51;82.00.05;;
Sri Sukma;Tolonglah diperhatikan jaringan M3 didaerah saya.kecamatan bumi raya kab.morowali sulteng.disini sering padam listrik jaringan m3 pun ikut hilang.bahkan listrik sdh menyala jaringan m3 masih tdk ada jaringan.mending tdk usah pasang jaringan disini jika tdk mampu menfalitasi jaringan anda.;3;01/02/2024 13.50;82.00.02;;
Muhammad Rifhan;ya bagus;4;01/02/2024 13.48;82.00.05;;
Juanda Irsan;sangat berguna;5;01/02/2024 13.46;0;;
Vina Renita;kuota terlalu mahal dan jaringan kurang bagus apalagi saat mati lampu sinyal hilang;1;01/02/2024 13.43;0;;
Agung Sunandar;ok;1;01/02/2024 13.42;82.00.05;;
Samsul Maarip Maarip;Jaringan gak jelas naik turun pea, gak cocok di pake;1;01/02/2024 13.41;82.00.05;;
Aldan nurohman;Sinyal ny kurang bagus suka lag tbtb;2;01/02/2024 13.37;81.10.01;;
